step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate
47,1.6729958057403564,0.75,,1.417898416519165,0.75,,,,
48,1.1036171913146973,0.75,,1.1194989681243896,0.875,,,,
49,0.8204481601715088,0.875,,1.1259465217590332,0.75,,,,
50,1.5335619449615479,0.75,,1.0347554683685303,0.75,,,,
51,0.5371818542480469,0.875,,1.3830013275146484,0.75,,,,
52,0.695763111114502,0.875,,0.8077654838562012,0.875,,,,
53,1.3791437149047852,0.75,,1.5911171436309814,0.75,,,,
54,1.375457525253296,0.75,,0.7345132827758789,0.875,,,,
55,1.2284331321716309,0.75,,1.13413405418396,0.75,,,,
56,0.9350719451904297,0.75,,1.606389045715332,0.75,,,,
57,0.29860544204711914,0.875,,1.733747959136963,0.75,,,,
58,0.8772320747375488,0.875,,1.2889950275421143,0.75,,,,
59,1.1114816665649414,0.75,,1.1617789268493652,0.75,,,,
60,0.6255662441253662,0.875,,0.9233717918395996,0.75,,,,
61,1.3398253917694092,0.75,,0.6918954849243164,0.875,,,,
62,1.3383636474609375,0.75,,1.0643892288208008,0.75,,,,
63,0.7722201347351074,0.875,,1.2200379371643066,0.75,,,,
64,1.1036217212677002,0.75,,0.4176661968231201,0.875,,,,
65,1.487989902496338,0.75,,0.7150163650512695,0.875,,,,
66,0.9363315105438232,0.875,,1.073073148727417,0.75,,,,
67,1.2123661041259766,0.75,,1.1965827941894531,0.75,,,,
68,1.1867825984954834,0.875,,1.3098008632659912,0.75,,,,
69,0.940436601638794,0.875,,1.0952610969543457,0.75,,,,
70,1.1584086418151855,0.625,,1.16572904586792,0.75,,,,
71,1.5502066612243652,0.75,,0.7451207637786865,0.875,,,,
72,0.7142338752746582,0.875,,0.8012223243713379,0.75,,,,
73,1.1046724319458008,0.875,,1.4426181316375732,0.75,,,,
74,1.1827476024627686,0.75,,1.242628574371338,0.75,,,,
75,1.187309741973877,0.75,,0.8411035537719727,0.875,,,,
